country,iso3,Population density,GDP per capita,Inflation rate,Health expenditure per capita,Unemployment rate,Extreme poverty,Life expectancy,Crude death rate,Population aged 65 and above,Tobacco use,Hospital beds,Air Passengers,Lower secondary,Pupil-teacher ratio,Education expenditure,Diabetes prevalence,Health personnel
Bermuda,BMU,1183.53703703704,116153.166121638,2.41935194490377,32.12714767,8.94,20.1,81.033,8.4,18.3791322880672,6.9,0.5,899.0,14.0790596008301,10.4196,1.92679822444916,12.0,0.353
Bhutan,BTN,20.1221552176193,3564.59877168289,3.10800220534927,115.32080841,2.72,0.9,71.391,6.626,5.95008984193292,6.9,1.74,276092.0,28.2215900421143,34.66868,4.7613525390625,5.7,2.154
Bolivia,BOL,10.8717022062217,3472.38083136442,-0.693003271755344,239.17544556,3.682,1.9,67.841,7.127,4.9861197134542,13.2,1.29,4066959.0,62.5299987792969,17.79827,8.09103965759277,6.6,2.534
Bosnia and Herzegovina,BIH,65.63888671875,6094.72482322311,2.47150468459363,543.98284912,15.692,0.1,77.241,12.266,17.2308899469651,35.5,3.49,5375.0,88.1731185913086,16.92651,8.43710994720459,7.5,7.708
Botswana,BWA,4.41074585781589,6691.16105313603,0.507585435653098,408.89599609,20.094,15.4,65.464,6.974,3.46735400206785,19.8,1.8,254439.0,88.1731185913086,23.71279,8.39899635314941,10.8,5.366
Brazil,BRA,25.3385176606278,8845.32414932264,4.22425886899158,850.43286133,11.936,5.4,75.338,6.572,8.99540920394896,13.2,2.09,102917546.0,62.9900016784668,20.22308,5.96346998214722,10.1,9.678
British Virgin Islands,VGB,204.066666666667,6923.6999117682,6.47249960755747,700.71270752,13.697,2.0,75.863,6.156,8.65076772296635,12.8,2.09,45405756.0,65.1999969482422,11.61672,2.63095998764038,8.6,9.678
Brunei,BRN,83.1210626185958,30748.3092371228,-3.3341833764367,674.65161133,6.6,2.0,74.748,4.834,5.13858625243552,16.2,2.85,1421313.0,78.7954025268555,9.89521,4.42540979385376,9.4,7.412999999999999
Bulgaria,BGR,64.2571941783346,9874.33632625168,5.23925655379578,697.8963623,4.23,0.9,75.1121951219512,15.5,21.9499890252182,39.4,7.45,832828.0,95.6712493896484,15.20744,4.19715023040771,6.7,8.908999999999999
Burkina Faso,BFA,76.5776279239766,765.229560401644,0.896660909597983,41.07073212,4.695,31.2,60.039,8.75,2.56526947605388,14.9,0.4,185841.0,14.0014600753784,39.72173,5.40713691711426,3.0,0.99
Burundi,BDI,462.415809968847,216.972970900616,0.851867434793434,16.58985329,1.03,62.1,62.351,7.352,2.44269437612538,12.2,0.79,70228.0,9.27593994140625,42.52383,5.34668445587158,2.7,0.714
Cape Verde,CPV,143.183622828784,3903.05031683625,0.694871191088424,173.98080444,11.29,4.6,76.004,5.162,5.30153952000804,11.7,2.1,675482.0,29.3516597747803,21.07361,4.13851022720337,5.4,2.027
Cambodia,KHM,91.8181849082257,1671.3854000919,3.2353717666989,115.25953674,0.499,4.6,70.692,5.947,5.01574062179898,21.9,0.9,1429503.73046387,18.9761695861816,41.7035,2.82565474510193,2.9,1.2389999999999999
Cameroon,CMR,54.5415603647056,1538.68791249516,1.16977181911541,56.18640518,3.534,25.7,61.584,8.16,2.7593518369802,7.5,1.3,83882.0,30.3271598815918,44.83412,3.04739952087402,6.1,0.578
Canada,CAN,4.19394931064213,46374.1527517191,1.54607075438069,5083.72558594,5.69,0.2,82.2287804878049,7.6,17.5606626990206,13.6,2.52,93352000.0,30.3271598815918,44.83412,4.77293014526367,8.4,13.775
Cayman Islands,CYM,275.558333333333,89846.321220347,3.39631203940991,5619.41601563,4.24,0.2,82.190243902439,3.9,7.25269906553361,13.0,2.52,27620000.0,95.2514572143555,15.74725,2.21589660644531,12.0,13.513
