cat_value,level_1,direction,counts,n,freq,label,region,var,country
"(6, 8]",2,Positive,580,6831,0.08490704142878056,8.5 %,Brandenburg,absolute_humidity,DEU
"(8, 10]",0,NS,3776,5208,0.7250384024577573,72.5 %,Brandenburg,absolute_humidity,DEU
"(8, 10]",1,Negative,966,5208,0.18548387096774194,18.5 %,Brandenburg,absolute_humidity,DEU
"(8, 10]",2,Positive,466,5208,0.08947772657450077,8.9 %,Brandenburg,absolute_humidity,DEU
"(10, 12]",0,NS,2709,3740,0.7243315508021391,72.4 %,Brandenburg,absolute_humidity,DEU
"(10, 12]",1,Negative,642,3740,0.1716577540106952,17.2 %,Brandenburg,absolute_humidity,DEU
"(10, 12]",2,Positive,389,3740,0.10401069518716577,10.4 %,Brandenburg,absolute_humidity,DEU
"(12, 14]",0,NS,1431,2002,0.7147852147852148,71.5 %,Brandenburg,absolute_humidity,DEU
"(12, 14]",1,Negative,392,2002,0.1958041958041958,19.6 %,Brandenburg,absolute_humidity,DEU
"(12, 14]",2,Positive,179,2002,0.08941058941058941,8.9 %,Brandenburg,absolute_humidity,DEU
"(14, 16]",0,NS,629,990,0.6353535353535353,63.5 %,Brandenburg,absolute_humidity,DEU
"(14, 16]",1,Negative,252,990,0.2545454545454545,25.5 %,Brandenburg,absolute_humidity,DEU
"(14, 16]",2,Positive,109,990,0.1101010101010101,11.0 %,Brandenburg,absolute_humidity,DEU
"(16, 18]",0,NS,295,506,0.5830039525691699,58.3 %,Brandenburg,absolute_humidity,DEU
